Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
INSERT,200,200,1600,0.40015101,0.00025009,0.05716443,0.05716443,All
SELECT,200,0,130,0.00575209,0.00004425,0.00575209,0.00575209,SELECT group reservation per device
SELECT,200,0,130,0.00300455,0.00002311,0.00300455,0.00300455,SELECT count average reservation time per device
SELECT,200,0,58,0.00206828,0.00003566,0.00206828,0.00206828,SELECT count number of admins
SELECT,200,0,200,0.00199723,0.00000999,0.00199723,0.00199723,SELECT find users
SELECT,200,0,200,0.00100517,0.00000503,0.00100517,0.00100517,SELECT count problems by status
SELECT,200,0,109,0.00199962,0.00001835,0.00199962,0.00199962,SELECT group messages per dormitory
SELECT,200,0,828,0.01682949,0.00002033,0.00186994,0.00186994,All
UPDATE,200,0,61,0.00817728,0.00013405,0.00817728,0.00817728,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00799680,0.00003998,0.00799680,0.00799680,UPDATE reservation time
UPDATE,200,0,1,0.00499964,0.00499964,0.00499964,0.00499964,UPDATE one message
UPDATE,200,0,262,0.02217364,0.00008463,0.00554341,0.00554341,All
DELETE,400,0,2,0.00912285,0.00456142,0.00912285,0.00912285,DELETE many not in batch
DELETE,400,0,394,0.00810862,0.00002058,0.00810862,0.00810862,DELETE many in batch
DELETE,400,0,396,0.01723146,0.00004351,0.00861573,0.00861573,All
INSERT,2000,2000,16000,1.09728789,0.00006858,0.15675541,0.15675541,All
SELECT,2000,0,1251,0.01405096,0.00001123,0.01405096,0.01405096,SELECT group reservation per device
SELECT,2000,0,1251,0.01320767,0.00001056,0.01320767,0.01320767,SELECT count average reservation time per device
SELECT,2000,0,581,0.00600219,0.00001033,0.00600219,0.00600219,SELECT count number of admins
SELECT,2000,0,2000,0.00912976,0.00000456,0.00912976,0.00912976,SELECT find users
SELECT,2000,0,2000,0.00163436,0.00000082,0.00163436,0.00163436,SELECT count problems by status
SELECT,2000,0,1098,0.01125097,0.00001025,0.01125097,0.01125097,SELECT group messages per dormitory
SELECT,2000,0,8182,0.05927730,0.00000724,0.00658637,0.00658637,All
UPDATE,2000,0,634,0.02033687,0.00003208,0.02033687,0.02033687,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.01923442,0.00000962,0.01923442,0.01923442,UPDATE reservation time
UPDATE,2000,0,1,0.00699782,0.00699782,0.00699782,0.00699782,UPDATE one message
UPDATE,2000,0,2635,0.04956627,0.00001881,0.01239157,0.01239157,All
DELETE,4000,0,38,0.13616109,0.00358319,0.13616109,0.13616109,DELETE many not in batch
DELETE,4000,0,3958,0.03881431,0.00000981,0.03881431,0.03881431,DELETE many in batch
DELETE,4000,0,3996,0.17497540,0.00004379,0.08748770,0.08748770,All
INSERT,2000,2000,16000,1.11197925,0.00006950,0.15885418,0.15885418,All
SELECT,2000,0,1248,0.01257586,0.00001008,0.01257586,0.01257586,SELECT group reservation per device
SELECT,2000,0,1248,0.01135373,0.00000910,0.01135373,0.01135373,SELECT count average reservation time per device
SELECT,2000,0,622,0.00719309,0.00001156,0.00719309,0.00719309,SELECT count number of admins
