Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
SELECT,100000,0,63162,6.17756987,0.00009781,6.17756987,6.17756987,SELECT group reservation per device
SELECT,100000,0,63162,5.49707961,0.00008703,5.49707961,5.49707961,SELECT count average reservation time per device
SELECT,100000,0,30775,1.13275957,0.00003681,1.13275957,1.13275957,SELECT count number of admins
SELECT,100000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,100000,0,0,5.48852181,0.00000000,5.48852181,5.48852181,SELECT find dormitory messages
SELECT,100000,0,0,0.03403997,0.00000000,0.03403997,0.03403997,SELECT find reservations earlier then concrete data
SELECT,100000,0,100000,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,100000,0,100000,0.02908444,0.00000029,0.02908444,0.02908444,SELECT count problems by status
SELECT,100000,0,54277,6.16018105,0.00011350,6.16018105,6.16018105,SELECT group messages per dormitory
SELECT,100000,0,411376,24.51923633,0.00005960,2.72435959,2.72435959,All
UPDATE,100000,0,33363,0.55477071,0.00001663,0.55477071,0.55477071,UPDATE password and other fields when user is admin
UPDATE,100000,0,100000,1.30209160,0.00001302,1.30209160,1.30209160,UPDATE reservation time
UPDATE,100000,0,0,0.03707767,0.00000000,0.03707767,0.03707767,UPDATE status when problem is older than
UPDATE,100000,0,1,0.00102115,0.00102115,0.00102115,0.00102115,UPDATE one message
UPDATE,100000,0,133364,1.89496112,0.00001421,0.47374028,0.47374028,All
DELETE,200000,0,199798,1.52499533,0.00000763,1.52499533,1.52499533,DELETE many in batch
DELETE,200000,0,199800,1.53807688,0.00000770,0.51269229,0.51269229,All
